Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts1,Edge Chromium 114,,,2023-06-30 14:34:23,2023-06-30 14:35:15,52.341s,PASSED
,,,,,,,
Test Cases/Login/Doauto,Edge Chromium 114,,,2023-06-30 14:34:23,2023-06-30 14:34:39,15.635s,PASSED
"openBrowser("""")",Edge Chromium 114,,,2023-06-30 14:34:24,2023-06-30 14:34:28,4.437s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-06-30 14:34:28,2023-06-30 14:34:31,2.639s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-06-30 14:34:31,2023-06-30 14:34:34,2.575s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Customer Login""))",Edge Chromium 114,,,2023-06-30 14:34:34,2023-06-30 14:34:34,0.691s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Edge Chromium 114,,,2023-06-30 14:34:34,2023-06-30 14:34:36,1.620s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Login""))",Edge Chromium 114,,,2023-06-30 14:34:36,2023-06-30 14:34:36,0.504s,PASSED
closeBrowser(),Edge Chromium 114,,,2023-06-30 14:34:36,2023-06-30 14:34:39,2.361s,PASSED
,,,,,,,
Test Cases/Login/Example,Edge Chromium 114,,,2023-06-30 14:34:39,2023-06-30 14:34:51,12.439s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-06-30 14:34:39,2023-06-30 14:34:43,3.485s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-06-30 14:34:43,2023-06-30 14:34:45,1.807s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Customer Login""))",Edge Chromium 114,,,2023-06-30 14:34:45,2023-06-30 14:34:45,0.503s,PASSED
maximizeWindow(),Edge Chromium 114,,,2023-06-30 14:34:45,2023-06-30 14:34:46,0.624s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Edge Chromium 114,,,2023-06-30 14:34:46,2023-06-30 14:34:48,1.922s,PASSED
"click(findTestObject(""Object Repository/Ẽample/Page_XYZ Bank/button_Login""))",Edge Chromium 114,,,2023-06-30 14:34:48,2023-06-30 14:34:48,0.657s,PASSED
closeBrowser(),Edge Chromium 114,,,2023-06-30 14:34:48,2023-06-30 14:34:51,2.793s,PASSED
,,,,,,,
Test Cases/Login/manager,Edge Chromium 114,,,2023-06-30 14:34:51,2023-06-30 14:35:15,23.729s,PASSED
"openBrowser("""")",Edge Chromium 114,,,2023-06-30 14:34:52,2023-06-30 14:34:55,2.740s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-06-30 14:34:55,2023-06-30 14:34:56,1.798s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-06-30 14:34:56,2023-06-30 14:34:58,1.380s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Edge Chromium 114,,,2023-06-30 14:34:58,2023-06-30 14:34:58,0.630s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer""))",Edge Chromium 114,,,2023-06-30 14:34:58,2023-06-30 14:34:59,0.958s,PASSED
