Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts1,Chrome 114.0.0.0,,,2023-06-30 14:02:51,2023-06-30 14:03:30,38.549s,PASSED
,,,,,,,
Test Cases/Doauto,Chrome 114.0.0.0,,,2023-06-30 14:02:52,2023-06-30 14:03:03,10.726s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-30 14:02:52,2023-06-30 14:02:56,3.647s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Chrome 114.0.0.0,,,2023-06-30 14:02:56,2023-06-30 14:02:57,1.272s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Home""))",Chrome 114.0.0.0,,,2023-06-30 14:02:57,2023-06-30 14:02:59,1.750s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Customer Login""))",Chrome 114.0.0.0,,,2023-06-30 14:02:59,2023-06-30 14:03:00,0.582s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-30 14:03:00,2023-06-30 14:03:01,1.584s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Login""))",Chrome 114.0.0.0,,,2023-06-30 14:03:01,2023-06-30 14:03:02,0.443s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-30 14:03:02,2023-06-30 14:03:03,0.852s,PASSED
,,,,,,,
Test Cases/manager,Chrome 114.0.0.0,,,2023-06-30 14:03:03,2023-06-30 14:03:21,18.559s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-30 14:03:03,2023-06-30 14:03:05,1.640s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Chrome 114.0.0.0,,,2023-06-30 14:03:05,2023-06-30 14:03:06,1.125s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Home""))",Chrome 114.0.0.0,,,2023-06-30 14:03:06,2023-06-30 14:03:07,1.318s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 114.0.0.0,,,2023-06-30 14:03:07,2023-06-30 14:03:08,0.507s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer""))",Chrome 114.0.0.0,,,2023-06-30 14:03:08,2023-06-30 14:03:09,0.918s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_First Name_form-control ng-pristine n_693e51""), ""lkjhgf"")",Chrome 114.0.0.0,,,2023-06-30 14:03:09,2023-06-30 14:03:10,1.184s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""), ""jnbhgvf"")",Chrome 114.0.0.0,,,2023-06-30 14:03:10,2023-06-30 14:03:11,0.735s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""))",Chrome 114.0.0.0,,,2023-06-30 14:03:11,2023-06-30 14:03:11,0.377s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_Post Code_form-control ng-untouched n_322706""), ""8765"")",Chrome 114.0.0.0,,,2023-06-30 14:03:11,2023-06-30 14:03:12,0.786s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer_1""))",Chrome 114.0.0.0,,,2023-06-30 14:03:12,2023-06-30 14:03:12,0.389s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Open Account""))",Chrome 114.0.0.0,,,2023-06-30 14:03:12,2023-06-30 14:03:12,0.234s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_XYZ Bank/select_---Customer Name---       Hermoine G_fc2164""), ""4"", true)",Chrome 114.0.0.0,,,2023-06-30 14:03:12,2023-06-30 14:03:14,1.541s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_XYZ Bank/select_---Currency---       Dollar      Pou_e54511""), ""Pound"", true)",Chrome 114.0.0.0,,,2023-06-30 14:03:14,2023-06-30 14:03:15,1.071s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Process""))",Chrome 114.0.0.0,,,2023-06-30 14:03:15,2023-06-30 14:03:15,0.394s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Customers""))",Chrome 114.0.0.0,,,2023-06-30 14:03:15,2023-06-30 14:03:16,0.179s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Delete""))",Chrome 114.0.0.0,,,2023-06-30 14:03:16,2023-06-30 14:03:16,0.743s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer""))",Chrome 114.0.0.0,,,2023-06-30 14:03:16,2023-06-30 14:03:17,0.520s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_First Name_form-control ng-pristine n_693e51""), ""kjh"")",Chrome 114.0.0.0,,,2023-06-30 14:03:17,2023-06-30 14:03:18,0.859s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""), ""hbgt"")",Chrome 114.0.0.0,,,2023-06-30 14:03:18,2023-06-30 14:03:18,0.744s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""))",Chrome 114.0.0.0,,,2023-06-30 14:03:18,2023-06-30 14:03:19,0.435s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_Post Code_form-control ng-untouched n_322706""), ""gt"")",Chrome 114.0.0.0,,,2023-06-30 14:03:19,2023-06-30 14:03:20,0.901s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer_1""))",Chrome 114.0.0.0,,,2023-06-30 14:03:20,2023-06-30 14:03:20,0.504s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-30 14:03:20,2023-06-30 14:03:21,0.934s,PASSED
,,,,,,,
Test Cases/Example,Chrome 114.0.0.0,,,2023-06-30 14:03:21,2023-06-30 14:03:30,8.837s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Chrome 114.0.0.0,,,2023-06-30 14:03:22,2023-06-30 14:03:25,3.028s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Home""))",Chrome 114.0.0.0,,,2023-06-30 14:03:25,2023-06-30 14:03:26,1.566s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Customer Login""))",Chrome 114.0.0.0,,,2023-06-30 14:03:26,2023-06-30 14:03:27,0.509s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-30 14:03:27,2023-06-30 14:03:27,0.170s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-30 14:03:27,2023-06-30 14:03:28,1.371s,PASSED
"click(findTestObject(""Object Repository/Ẽample/Page_XYZ Bank/button_Login""))",Chrome 114.0.0.0,,,2023-06-30 14:03:28,2023-06-30 14:03:29,0.466s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-30 14:03:29,2023-06-30 14:03:30,1.258s,PASSED
