Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LC,Chrome 114.0.0.0,,,2023-07-12 17:02:25,2023-07-12 17:04:24,1m - 58.660s,FAILED
,,,,,,,
Test Cases/LC/Searching,Chrome 114.0.0.0,,,2023-07-12 17:02:26,2023-07-12 17:04:19,1m - 53.807s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 17:02:26,2023-07-12 17:02:29,3.029s,PASSED
"navigateToUrl(""http://localhost:5173/"")",Chrome 114.0.0.0,,,2023-07-12 17:02:29,2023-07-12 17:02:30,0.897s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 17:02:30,2023-07-12 17:02:30,0.155s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/p_product (1)""))",Chrome 114.0.0.0,,,2023-07-12 17:02:30,2023-07-12 17:02:31,0.906s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 17:02:31,2023-07-12 17:02:36,5.041s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (3)""), ""Bún"")",Chrome 114.0.0.0,,,2023-07-12 17:02:36,2023-07-12 17:02:37,0.749s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_Local specialtys areasThe best offer th_178a87 (1)""))",Chrome 114.0.0.0,,,2023-07-12 17:02:37,2023-07-12 17:02:37,0.403s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-12 17:02:37,2023-07-12 17:02:40,3.002s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/button_2 (1)""))",Chrome 114.0.0.0,,,2023-07-12 17:02:40,2023-07-12 17:02:42,1.762s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-12 17:02:42,2023-07-12 17:02:45,3.017s,PASSED
