Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LC,Chrome 114.0.0.0,,,2023-07-14 08:14:11,2023-07-14 08:17:20,3m - 9.778s,FAILED
,,,,,,,
Test Cases/LC/Searching,Chrome 114.0.0.0,,,2023-07-14 08:14:11,2023-07-14 08:16:04,1m - 52.625s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 08:14:11,2023-07-14 08:14:14,2.380s,PASSED
"navigateToUrl(""http://localhost:5173/"")",Chrome 114.0.0.0,,,2023-07-14 08:14:14,2023-07-14 08:14:15,1.000s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 08:14:15,2023-07-14 08:14:15,0.158s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/p_product (1)""))",Chrome 114.0.0.0,,,2023-07-14 08:14:15,2023-07-14 08:14:16,0.786s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-14 08:14:16,2023-07-14 08:14:21,5.041s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (3)""), ""Bún"")",Chrome 114.0.0.0,,,2023-07-14 08:14:21,2023-07-14 08:14:22,0.750s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_Local specialtys areasThe best offer th_178a87 (1)""))",Chrome 114.0.0.0,,,2023-07-14 08:14:22,2023-07-14 08:14:22,0.406s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-14 08:14:22,2023-07-14 08:14:25,3.016s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/button_2 (1)""))",Chrome 114.0.0.0,,,2023-07-14 08:14:25,2023-07-14 08:14:26,1.454s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-14 08:14:26,2023-07-14 08:14:29,3.012s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/button_3 (1)""))",Chrome 114.0.0.0,,,2023-07-14 08:14:29,2023-07-14 08:14:30,0.962s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-14 08:14:30,2023-07-14 08:14:33,3.016s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-07-14 08:14:33,2023-07-14 08:14:36,3.012s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (1)""), ""Bánh Tráng 73"")",Chrome 114.0.0.0,,,2023-07-14 08:14:36,2023-07-14 08:14:37,0.744s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-14 08:14:37,2023-07-14 08:14:42,5.011s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-14 08:14:42,2023-07-14 08:14:43,0.443s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-14 08:14:43,2023-07-14 08:14:46,2.946s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/label_More than 800.000""))",Chrome 114.0.0.0,,,2023-07-14 08:14:46,2023-07-14 08:14:46,0.568s,PASSED
