Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LC,Chrome 114.0.0.0,,,2023-07-18 13:56:40,2023-07-18 13:59:21,2m - 41.322s,FAILED
,,,,,,,
Test Cases/LC/Cart,Chrome 114.0.0.0,,,2023-07-18 13:56:40,2023-07-18 13:57:46,1m - 5.616s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-18 13:56:41,2023-07-18 13:56:44,3.178s,PASSED
"navigateToUrl(""http://localhost:5173/"")",Chrome 114.0.0.0,,,2023-07-18 13:56:44,2023-07-18 13:56:45,1.104s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-18 13:56:45,2023-07-18 13:56:45,0.187s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/p_product""))",Chrome 114.0.0.0,,,2023-07-18 13:56:45,2023-07-18 13:56:46,0.590s,PASSED
"setText(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/input_The best offer that we offer to the w_af0838""), ""Bún"")",Chrome 114.0.0.0,,,2023-07-18 13:56:46,2023-07-18 13:56:52,5.642s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/img_by category_chakra-image css-lxd7e7""))",Chrome 114.0.0.0,,,2023-07-18 13:56:52,2023-07-18 13:56:56,3.922s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/p_Show more""))",Chrome 114.0.0.0,,,2023-07-18 13:56:56,2023-07-18 13:57:01,5.193s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/p_Pellentesque habitan morbi tristiquePelle_e1746d""))",Chrome 114.0.0.0,,,2023-07-18 13:57:01,2023-07-18 13:57:01,0.516s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/p_Show less""))",Chrome 114.0.0.0,,,2023-07-18 13:57:01,2023-07-18 13:57:02,0.418s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/div_Add to cart_css-148p1cq""))",Chrome 114.0.0.0,,,2023-07-18 13:57:02,2023-07-18 13:57:02,0.557s,PASSED
"setText(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/input_Add to cart_chakra-input css-108b1as""), ""2345678"")",Chrome 114.0.0.0,,,2023-07-18 13:57:02,2023-07-18 13:57:03,0.903s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/button_Add to cart""))",Chrome 114.0.0.0,,,2023-07-18 13:57:03,2023-07-18 13:57:04,0.427s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/div_You item already in shopping cart""), 0)",Chrome 114.0.0.0,,,2023-07-18 13:57:04,2023-07-18 13:57:04,0.531s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/div_Successfully""), 0)",Chrome 114.0.0.0,,,2023-07-18 13:57:04,2023-07-18 13:57:05,0.405s,PASSED
"doubleClick(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-18 13:57:05,2023-07-18 13:57:05,0.499s,PASSED
"doubleClick(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-18 13:57:05,2023-07-18 13:57:06,0.924s,PASSED
"click(findTestObject(""Object Repository/Cart/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-18 13:57:06,2023-07-18 13:57:06,0.399s,PASSED
