Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts1,Chrome 114.0.0.0,,,2023-06-30 14:09:17,2023-06-30 14:09:56,39.165s,PASSED
,,,,,,,
Test Cases/Login/Doauto,Chrome 114.0.0.0,,,2023-06-30 14:09:17,2023-06-30 14:09:28,10.739s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-30 14:09:18,2023-06-30 14:09:22,3.939s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Chrome 114.0.0.0,,,2023-06-30 14:09:22,2023-06-30 14:09:23,1.271s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Home""))",Chrome 114.0.0.0,,,2023-06-30 14:09:23,2023-06-30 14:09:25,1.413s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Customer Login""))",Chrome 114.0.0.0,,,2023-06-30 14:09:25,2023-06-30 14:09:25,0.522s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-30 14:09:25,2023-06-30 14:09:27,1.630s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Login""))",Chrome 114.0.0.0,,,2023-06-30 14:09:27,2023-06-30 14:09:27,0.456s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-30 14:09:27,2023-06-30 14:09:28,0.872s,PASSED
,,,,,,,
Test Cases/Login/Example,Chrome 114.0.0.0,,,2023-06-30 14:09:28,2023-06-30 14:09:37,8.562s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Chrome 114.0.0.0,,,2023-06-30 14:09:29,2023-06-30 14:09:31,2.968s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Home""))",Chrome 114.0.0.0,,,2023-06-30 14:09:31,2023-06-30 14:09:33,1.620s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Customer Login""))",Chrome 114.0.0.0,,,2023-06-30 14:09:33,2023-06-30 14:09:34,0.508s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-30 14:09:34,2023-06-30 14:09:34,0.165s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-30 14:09:34,2023-06-30 14:09:35,1.447s,PASSED
"click(findTestObject(""Object Repository/Ẽample/Page_XYZ Bank/button_Login""))",Chrome 114.0.0.0,,,2023-06-30 14:09:35,2023-06-30 14:09:36,0.490s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-30 14:09:36,2023-06-30 14:09:37,0.866s,PASSED
,,,,,,,
Test Cases/Login/manager,Chrome 114.0.0.0,,,2023-06-30 14:09:37,2023-06-30 14:09:56,19.423s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-30 14:09:37,2023-06-30 14:09:39,1.742s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Chrome 114.0.0.0,,,2023-06-30 14:09:39,2023-06-30 14:09:40,1.164s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Home""))",Chrome 114.0.0.0,,,2023-06-30 14:09:40,2023-06-30 14:09:41,1.377s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Chrome 114.0.0.0,,,2023-06-30 14:09:41,2023-06-30 14:09:42,0.513s,PASSED
