Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts1,Edge Chromium 114,,,2023-07-05 15:36:27,2023-07-05 15:37:32,1m - 5.444s,PASSED
,,,,,,,
Test Cases/Login/Doauto,Edge Chromium 114,,,2023-07-05 15:36:27,2023-07-05 15:36:38,10.828s,PASSED
"openBrowser("""")",Edge Chromium 114,,,2023-07-05 15:36:28,2023-07-05 15:36:30,2.687s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-07-05 15:36:30,2023-07-05 15:36:32,2.176s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-07-05 15:36:32,2023-07-05 15:36:34,1.512s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Customer Login""))",Edge Chromium 114,,,2023-07-05 15:36:34,2023-07-05 15:36:34,0.558s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Edge Chromium 114,,,2023-07-05 15:36:34,2023-07-05 15:36:37,2.120s,PASSED
"click(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/button_Login""))",Edge Chromium 114,,,2023-07-05 15:36:37,2023-07-05 15:36:37,0.426s,PASSED
closeBrowser(),Edge Chromium 114,,,2023-07-05 15:36:37,2023-07-05 15:36:38,0.896s,PASSED
,,,,,,,
Test Cases/Login/Example,Edge Chromium 114,,,2023-07-05 15:36:38,2023-07-05 15:36:47,9.087s,PASSED
"openBrowser(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-07-05 15:36:39,2023-07-05 15:36:42,3.308s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-07-05 15:36:42,2023-07-05 15:36:43,1.339s,PASSED
"click(findTestObject(""Object Repository/ẽample/Page_XYZ Bank/button_Customer Login""))",Edge Chromium 114,,,2023-07-05 15:36:43,2023-07-05 15:36:44,0.545s,PASSED
maximizeWindow(),Edge Chromium 114,,,2023-07-05 15:36:44,2023-07-05 15:36:44,0.441s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/tesattuo/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Edge Chromium 114,,,2023-07-05 15:36:44,2023-07-05 15:36:46,1.315s,PASSED
"click(findTestObject(""Object Repository/Ẽample/Page_XYZ Bank/button_Login""))",Edge Chromium 114,,,2023-07-05 15:36:46,2023-07-05 15:36:46,0.464s,PASSED
closeBrowser(),Edge Chromium 114,,,2023-07-05 15:36:46,2023-07-05 15:36:47,1.000s,PASSED
,,,,,,,
Test Cases/Login/manager,Edge Chromium 114,,,2023-07-05 15:36:47,2023-07-05 15:37:32,45.069s,PASSED
"openBrowser("""")",Edge Chromium 114,,,2023-07-05 15:36:48,2023-07-05 15:36:50,2.233s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/account"")",Edge Chromium 114,,,2023-07-05 15:36:50,2023-07-05 15:36:51,1.657s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Home""))",Edge Chromium 114,,,2023-07-05 15:36:51,2023-07-05 15:36:53,1.386s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Bank Manager Login""))",Edge Chromium 114,,,2023-07-05 15:36:53,2023-07-05 15:36:53,0.626s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer""))",Edge Chromium 114,,,2023-07-05 15:36:53,2023-07-05 15:36:54,0.827s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_First Name_form-control ng-pristine n_693e51""), ""lkjhgf"")",Edge Chromium 114,,,2023-07-05 15:36:54,2023-07-05 15:36:56,1.284s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""), ""jnbhgvf"")",Edge Chromium 114,,,2023-07-05 15:36:56,2023-07-05 15:36:56,0.775s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/input_Last Name_form-control ng-pristine ng_64913d""))",Edge Chromium 114,,,2023-07-05 15:36:56,2023-07-05 15:36:57,0.388s,PASSED
"setText(findTestObject(""Object Repository/Page_XYZ Bank/input_Post Code_form-control ng-untouched n_322706""), ""8765"")",Edge Chromium 114,,,2023-07-05 15:36:57,2023-07-05 15:36:57,0.722s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Add Customer_1""))",Edge Chromium 114,,,2023-07-05 15:36:57,2023-07-05 15:36:58,0.576s,PASSED
"click(findTestObject(""Object Repository/Page_XYZ Bank/button_Open Account""))",Edge Chromium 114,,,2023-07-05 15:36:58,2023-07-05 15:36:58,0.189s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_XYZ Bank/select_---Currency---       Dollar      Pou_e54511""), ""Pound"", true)",Edge Chromium 114,,,2023-07-05 15:36:58,2023-07-05 15:37:00,1.965s,PASSED
